nome_completo,primeira_hab,data_local_uf,data_emissao,validade,identidade_emissor_uf,cpf,num_registro,cat_hab,nacionalidade,filiacao_pai,filiacao_mae
DR. VITOR SÁ,24/08/2005,"14/09/1963, VARGAS DA MATA, PR",17/04/2022,16/01/2030,PR68040731 SSP PR,936.271.840-50,94265451794,BE,BRASILEIRO(A),SR. ARTHUR GABRIEL DIAS,SOPHIA MOURA
RAQUEL REZENDE,16/11/1995,"21/10/1976, ARAÚJO, RO",13/09/2021,17/01/2026,RO26786737 SSP RO,429.138.065-89,67692764150,A1,BRASILEIRO(A),THEODORO VASCONCELOS,ANA SILVA
AYLLA MOREIRA,16/01/1997,"27/09/1964, ABREU, SE",07/05/2022,11/03/2026,SE58975402 SSP SE,675.980.412-02,73028995317,C1E,BRASILEIRO(A),LEVI MONTENEGRO,ALANA FONSECA
LUNNA PORTO,05/03/1996,"22/02/1987, MARQUES DA MATA, RJ",06/06/2025,09/04/2032,RJ58788828 SSP RJ,425.361.987-82,47093993028,D,BRASILEIRO(A),THÉO OLIVEIRA,JOANA MACEDO
DIEGO GUERRA,08/09/1996,"19/01/1956, MARQUES DE MINAS, DF",11/10/2022,09/03/2029,DF26578655 SSP DF,941.576.823-19,70320307830,C1E,BRASILEIRO(A),LEVI PACHECO,DRA. CAROLINE PASTOR
FRANCISCO ALVES,08/09/2004,"02/02/1986, PIMENTA, PE",04/11/2023,18/09/2029,PE90426262 SSP PE,830.519.764-66,38622913016,C1E,BRASILEIRO(A),CAIO ARAGÃO,ELOAH MARTINS
BÁRBARA MACHADO,02/12/2002,"08/03/1959, AZEVEDO DO AMPARO, RR",10/04/2024,19/09/2033,RR45728952 SSP RR,152.907.463-07,33363877910,DE,BRASILEIRO(A),PEDRO LUCAS ALBUQUERQUE,EDUARDA RODRIGUES
MARIANA FARIAS,23/07/1999,"16/08/1992, LEÃO, CE",03/04/2024,11/07/2027,CE66131787 SSP CE,258.741.369-91,82627047740,D1,BRASILEIRO(A),SR. YAGO CASSIANO,MARIANA DA LUZ
MARIA JULIA MELO,18/08/2000,"14/02/1984, SÁ DE ANDRADE, CE",07/08/2022,19/10/2026,CE58303913 SSP CE,729.856.103-03,16113912833,D,BRASILEIRO(A),KAIQUE CÂMARA,ANA LAURA PIRES
MAYA SILVA,17/07/1999,"30/07/1963, RIBEIRO DA PRAIA, PB",18/06/2023,19/09/2031,PB20671385 SSP PB,216.340.975-99,77858778801,C1,BRASILEIRO(A),DR. RAVI LUCCA PEREIRA,JULIA FREITAS
CAIO DA CUNHA,29/10/1998,"23/07/1987, FOGAÇA, MS",14/06/2021,12/11/2027,MS60439832 SSP MS,427.653.108-07,34717030663,BE,BRASILEIRO(A),DR. CALEBE MORAES,MARIA LUÍSA DA MOTA
MARIA JULIA CIRINO,30/05/1999,"24/05/1991, CARVALHO, RS",10/08/2024,03/03/2034,RS34070237 SSP RS,251.039.647-16,70569810101,C,BRASILEIRO(A),JOSUÉ DA CONCEIÇÃO,NICOLE VASCONCELOS
LORENA MARTINS,26/02/2006,"16/09/1978, LIMA DA MATA, RO",04/08/2025,29/11/2031,RO70682518 SSP RO,548.632.791-91,24475451483,A1,BRASILEIRO(A),BENJAMIM LIMA,ANA LUIZA CASA GRANDE
MARIA LIZ SIQUEIRA,25/11/2001,"01/08/1961, DA PAZ, RS",13/09/2022,27/01/2027,RS72498608 SSP RS,018.643.795-10,99943797166,A1,BRASILEIRO(A),HENRY GABRIEL VIEIRA,ANA BEATRIZ RIOS
LORENZO FARIAS,30/06/1997,"06/11/1984, FREITAS PAULISTA, RO",01/12/2020,05/01/2024,RO65548961 SSP RO,437.129.860-50,37724262149,B,BRASILEIRO(A),BENJAMIM MENDES,ÍSIS DA LUZ
SR. DAVI LUCAS SOUZA,18/11/2003,"13/07/1993, MENDES, CE",16/08/2025,14/10/2033,CE10772559 SSP CE,507.234.168-26,85426836144,ACC,BRASILEIRO(A),VITOR GABRIEL CORREIA,OLIVIA CASTRO
RENAN VASCONCELOS,11/01/1998,"10/06/1978, ANDRADE, AM",07/09/2023,02/07/2028,AM85596687 SSP AM,874.253.960-92,95978266631,C1,BRASILEIRO(A),LUAN CASSIANO,MARIA FLOR MENDONÇA
MATHIAS NASCIMENTO,19/06/2002,"04/11/1997, DA LUZ DO SUL, RS",02/01/2024,10/01/2027,RS25448284 SSP RS,135.704.928-50,56258855467,D,BRASILEIRO(A),ASAFE LIMA,ANA CLARA SIQUEIRA
OTÁVIO LIMA,24/02/2006,"25/08/1964, DIAS DA PRAIA, MT",02/12/2023,26/01/2029,MT53569031 SSP MT,568.079.413-66,91192495360,B1,BRASILEIRO(A),LUIZ MIGUEL APARECIDA,DRA. JULIA FERREIRA
DRA. CATARINA MENDES,17/08/2005,"24/06/1965, CASSIANO, PR",05/09/2021,28/03/2027,PR36051989 SSP PR,516.807.324-71,70726017125,A1,BRASILEIRO(A),MATTEO DA CUNHA,LUIZA DA COSTA
ANTÔNIO DUARTE,21/03/2000,"10/09/1987, BORGES, BA",27/07/2023,24/01/2030,BA80620729 SSP BA,102.364.958-60,26276068619,D,BRASILEIRO(A),DANILO ALMEIDA,BÁRBARA BORGES
SR. GAEL HENRIQUE MARQUES,08/02/2004,"25/04/2005, PEREIRA, MG",13/01/2023,05/03/2026,MG87907219 SSP MG,123.894.567-82,43144817571,D,BRASILEIRO(A),YAN SAMPAIO,PIETRA PEIXOTO
AGATHA DA ROCHA,03/05/2000,"27/04/1978, CASA GRANDE, PA",15/01/2023,23/02/2030,PA37310558 SSP PA,693.854.210-42,17535060324,DE,BRASILEIRO(A),BENICIO PIRES,MARIA CLARA SOUZA
SRTA. MIRELLA LOPES,11/11/2004,"30/06/1968, ALMEIDA, AM",23/08/2021,19/03/2030,AM51448025 SSP AM,297.184.350-50,32635840639,D1,BRASILEIRO(A),DR. BRYAN LEÃO,ÍSIS CASA GRANDE
DANILO BARROS,12/03/1997,"20/07/1985, MARQUES, MS",26/07/2022,03/10/2029,MS35776271 SSP MS,613.527.489-91,84643266562,D1E,BRASILEIRO(A),RAVY DAS NEVES,ANA SOPHIA CORREIA
JOÃO GABRIEL CARVALHO,11/06/2004,"23/08/1956, CORREIA DAS FLORES, SE",29/03/2024,17/02/2034,SE13804229 SSP SE,908.423.517-79,14956624618,C1E,BRASILEIRO(A),THEODORO MACEDO,PIETRA FONSECA
MARIANA MACHADO,07/09/2005,"11/12/1980, SIQUEIRA DO CAMPO, RN",11/04/2025,20/11/2028,RN84809538 SSP RN,624.987.031-87,82979829314,A1,BRASILEIRO(A),JOÃO PEDRO ALBUQUERQUE,MILENA DA LUZ
SR. JOÃO VITOR MONTEIRO,14/10/2001,"17/09/1957, LOPES, RR",24/06/2021,28/04/2025,RR50694598 SSP RR,082.547.613-53,29209009095,B1,BRASILEIRO(A),GUSTAVO BRITO,CATARINA SOUZA
MARIA EDUARDA APARECIDA,23/02/2005,"21/08/2003, REZENDE, AP",07/11/2021,23/01/2026,AP51314679 SSP AP,894.176.203-04,71537956591,A,BRASILEIRO(A),DR. IAN VASCONCELOS,NINA DAS NEVES
MARIA CLARA SÁ,25/04/2004,"06/08/1985, MORAES, MG",01/07/2021,20/03/2025,MG63784400 SSP MG,328.791.456-19,30346199292,DE,BRASILEIRO(A),DIOGO DA LUZ,DRA. ELOAH PACHECO
BENJAMIN GARCIA,26/05/2005,"29/03/1997, PIRES GRANDE, SE",11/01/2021,06/08/2025,SE44904783 SSP SE,427.390.186-22,91111105669,D1E,BRASILEIRO(A),YAN NOGUEIRA,LUIZA JESUS
VITOR MONTEIRO,15/05/1996,"10/12/1960, DA COSTA, MG",02/08/2025,14/01/2032,MG18168861 SSP MG,145.608.793-20,10559027407,D,BRASILEIRO(A),ANTONY MARQUES,LARA MACHADO
ANA JULIA GARCIA,13/07/1999,"30/06/1961, MACHADO DE MINAS, MA",25/08/2021,13/05/2027,MA68790618 SSP MA,027.346.581-35,72588532110,C1,BRASILEIRO(A),ARTHUR GABRIEL SAMPAIO,DRA. MARCELA DA MATA
BEATRIZ DA CONCEIÇÃO,19/10/2006,"19/06/1991, CUNHA PAULISTA, RR",23/06/2025,27/06/2033,RR76864578 SSP RR,976.812.035-59,74330603848,D,BRASILEIRO(A),ARTHUR MIGUEL CALDEIRA,AYLLA COSTELA
JOÃO GUILHERME PIRES,14/07/1997,"24/01/1995, NOGUEIRA, RN",17/02/2021,05/03/2028,RN51578020 SSP RN,032.598.147-79,66719548864,D1E,BRASILEIRO(A),VITOR GABRIEL MORAES,ANA CAROLINA CARVALHO
EMILLY ALMEIDA,23/07/2000,"11/01/1963, MOURA, PA",26/09/2022,01/12/2026,PA83005222 SSP PA,174.963.805-39,75494913548,A,BRASILEIRO(A),ANTHONY MACEDO,MARIA FLOR CASTRO
EMANUELLA FERNANDES,14/02/2007,"06/12/2006, PEREIRA, AM",24/06/2022,29/10/2025,AM97252790 SSP AM,981.527.460-02,71208863716,B,BRASILEIRO(A),YURI PIRES,SRA. OLIVIA ROCHA
BENÍCIO GARCIA,24/12/1997,"12/02/1972, NOVAES, SE",02/02/2025,01/03/2031,SE47788509 SSP SE,274.851.039-97,46463698701,C1E,BRASILEIRO(A),VITOR GABRIEL PINTO,MARIA VITÓRIA REZENDE
JOÃO FELIPE DA CUNHA,20/11/2004,"02/11/1978, RAMOS, AM",12/07/2023,26/01/2027,AM32446477 SSP AM,743.865.012-07,48454031677,BE,BRASILEIRO(A),FRANCISCO BRITO,MILENA CAVALCANTI
SR. NICOLAS DA ROSA,15/03/2006,"20/05/2007, DA ROSA DOS DOURADOS, AM",06/09/2024,06/05/2033,AM45154226 SSP AM,971.852.346-46,67555399938,C,BRASILEIRO(A),SR. MARCELO DA CONCEIÇÃO,LARA CASA GRANDE
CLARA BARBOSA,02/03/2004,"11/03/1991, BARROS DE MINAS, AM",01/01/2025,23/07/2032,AM87702055 SSP AM,764.821.359-19,76333241371,A,BRASILEIRO(A),BENJAMIM APARECIDA,OLIVIA BARBOSA
DRA. LARISSA COSTA,18/10/2001,"12/02/1958, DA MATA, SE",02/10/2022,22/02/2030,SE97240358 SSP SE,761.849.532-73,28081719165,B1,BRASILEIRO(A),HENRY GABRIEL CUNHA,MARIANA SÁ
KAIQUE ABREU,03/11/1998,"21/11/1973, SOUSA DOS DOURADOS, PB",21/09/2021,03/08/2027,PB47123158 SSP PB,571.908.634-00,73837468469,C,BRASILEIRO(A),LUIZ OTÁVIO ALVES,SRTA. EVELYN RODRIGUES
LUIZA DIAS,23/02/2006,"11/04/1999, BRITO DE AZEVEDO, RO",02/12/2021,06/01/2026,RO93401617 SSP RO,728.495.360-83,12384905642,D1E,BRASILEIRO(A),YURI COSTA,SRTA. RAQUEL DA CONCEIÇÃO
ÁGATHA OLIVEIRA,15/08/2006,"03/04/1959, SANTOS, MS",05/06/2022,01/09/2028,MS64762537 SSP MS,935.810.467-84,62049501917,BE,BRASILEIRO(A),RENAN REZENDE,LARA PASTOR
LUANA DA MOTA,28/02/2004,"12/06/1961, MELO, GO",11/03/2025,18/07/2029,GO49386339 SSP GO,023.158.946-89,14641998962,D1,BRASILEIRO(A),RAUL FERNANDES,MARIA LUIZA GOMES
STELLA AZEVEDO,28/09/2007,"22/05/2004, FREITAS DAS PEDRAS, AC",25/09/2021,13/05/2025,AC72854291 SSP AC,721.548.369-09,85903180544,A,BRASILEIRO(A),OLIVER DA COSTA,SRA. LUANA CALDEIRA
MAITÊ VASCONCELOS,04/09/1999,"01/04/1962, ARAGÃO, AM",01/03/2022,06/07/2030,AM62270126 SSP AM,164.520.937-70,68663856987,D1,BRASILEIRO(A),RENAN ABREU,SRA. JULIANA MONTENEGRO
LUAN CASA GRANDE,28/10/1998,"10/10/1985, ARAÚJO, ES",10/08/2025,12/11/2032,ES68705615 SSP ES,018.793.564-57,41469147129,C1E,BRASILEIRO(A),ENZO GABRIEL RIBEIRO,BELLA RODRIGUES
AUGUSTO MONTEIRO,12/02/2001,"03/06/1990, RAMOS DO OESTE, SP",17/01/2022,18/07/2025,SP98045953 SSP SP,918.743.265-09,87764425473,C1,BRASILEIRO(A),ISAAC NUNES,MARIA LUIZA CORREIA
JUAN LEÃO,26/07/2007,"12/12/1966, PACHECO DA MATA, RO",01/04/2021,19/10/2024,RO28319054 SSP RO,085.963.417-57,60375869036,C1,BRASILEIRO(A),JOSÉ COSTA,CAROLINA PACHECO
THOMAS VASCONCELOS,19/02/1997,"30/07/1958, PORTO DE LIMA, BA",13/12/2022,02/02/2030,BA37281616 SSP BA,036.287.419-04,43151018031,C,BRASILEIRO(A),KAIQUE LOPES,JÚLIA NOVAIS
CAUÊ CALDEIRA,13/03/1996,"16/08/1983, TEIXEIRA DA SERRA, TO",02/05/2022,29/12/2028,TO91199966 SSP TO,154.732.960-25,50335975331,D,BRASILEIRO(A),JOSÉ PEDRO CORREIA,MARINA MACHADO
SRTA. MAYA CIRINO,21/06/2004,"03/10/2005, CIRINO, GO",19/08/2023,08/06/2028,GO39705333 SSP GO,160.492.735-61,75065363688,C,BRASILEIRO(A),LEVI FOGAÇA,CATARINA FARIAS
MATEUS NASCIMENTO,08/12/2000,"15/06/1998, SALES DA MATA, RR",04/07/2023,28/11/2030,RR83315790 SSP RR,594.071.268-11,41962233881,A1,BRASILEIRO(A),PEDRO LUCAS SOUZA,DRA. BRUNA VARGAS
DRA. ISABELLY PINTO,27/11/2005,"25/02/1967, ANDRADE, PI",25/01/2024,20/12/2032,PI21607538 SSP PI,317.892.045-50,65807470127,C1E,BRASILEIRO(A),RAVI PIRES,ELISA SANTOS
LORENA NASCIMENTO,05/09/2001,"19/03/1995, CAMARGO DAS FLORES, MG",21/04/2025,29/06/2028,MG58621939 SSP MG,023.857.196-30,29819646137,D1,BRASILEIRO(A),JOÃO VITOR VARGAS,LORENA MOURA
ANA CLARA CAMPOS,06/12/1995,"22/02/1995, SÁ, PI",11/08/2023,22/05/2029,PI36344743 SSP PI,416.275.398-91,37086497904,A1,BRASILEIRO(A),ENRICO MACHADO,ESTHER PIRES
DR. LUIGI CARVALHO,16/07/1999,"13/09/1984, LIMA, MT",17/03/2023,18/11/2027,MT71992693 SSP MT,853.704.692-29,40012273640,C1E,BRASILEIRO(A),THOMAS CAVALCANTI,ANTONELLA NASCIMENTO
ANA VITÓRIA MARQUES,15/10/2005,"16/06/1994, DA MATA DE DA COSTA, RR",29/06/2021,21/02/2029,RR60570294 SSP RR,029.384.671-50,27199653902,B1,BRASILEIRO(A),HENRY GABRIEL VASCONCELOS,NINA CAMARGO
HELENA CASSIANO,12/01/2006,"02/09/1979, MONTENEGRO DA PRATA, SC",18/05/2023,04/10/2027,SC13892586 SSP SC,805.341.967-48,33314651595,A1,BRASILEIRO(A),PEDRO JESUS,MARIA CLARA VIEIRA
ESTER RIOS,17/05/1998,"04/07/1988, CASA GRANDE, RS",08/05/2021,11/04/2029,RS10785194 SSP RS,523.687.901-95,37407489143,BE,BRASILEIRO(A),DR. LUIZ HENRIQUE SALES,EVELYN FERREIRA
LUANA MONTEIRO,27/03/2006,"10/01/2000, CÂMARA, PR",21/12/2021,28/08/2028,PR87695120 SSP PR,910.824.356-51,93913526382,D1,BRASILEIRO(A),DIEGO CARVALHO,ANA SOPHIA CAVALCANTE
ENRICO OLIVEIRA,16/04/2005,"30/09/1995, CALDEIRA DO GALHO, PE",15/06/2023,17/11/2030,PE52031331 SSP PE,142.578.096-20,85805927685,B,BRASILEIRO(A),VICENTE PACHECO,MARIA LAURA DA MATA
JULIANA DA CONCEIÇÃO,24/02/2004,"25/02/1966, DUARTE, AC",09/03/2024,15/03/2030,AC57327483 SSP AC,837.569.014-75,20642317985,B,BRASILEIRO(A),SR. DAVI SANTOS,DRA. MANUELA JESUS
MARIA LUIZA MARTINS,22/11/2003,"04/05/2000, COSTA, PA",26/04/2021,23/12/2028,PA65543838 SSP PA,712.946.583-28,56987464490,D1E,BRASILEIRO(A),PEDRO HENRIQUE MELO,SRA. STEPHANY OLIVEIRA
LUIZ FERNANDO SAMPAIO,12/10/2005,"02/03/1989, NUNES VERDE, AP",29/01/2023,04/02/2029,AP75534625 SSP AP,163.472.085-71,15065326375,D,BRASILEIRO(A),SR. ARTHUR CAVALCANTI,MARIA LUÍSA CIRINO
DR. IAN FREITAS,24/08/2001,"16/05/2001, NUNES DE GOIÁS, CE",13/09/2023,05/08/2027,CE85571659 SSP CE,873.241.096-40,95725976965,B,BRASILEIRO(A),BRUNO CÂMARA,SABRINA CUNHA
VICENTE PORTO,10/04/2002,"23/03/1974, ROCHA, PR",14/07/2024,11/02/2030,PR27234192 SSP PR,217.864.509-76,11383634744,C1E,BRASILEIRO(A),ANDRÉ CUNHA,ELOAH SILVEIRA
JOSUÉ AZEVEDO,11/07/2002,"09/02/1981, ROCHA, AM",17/06/2022,14/04/2031,AM83155857 SSP AM,654.389.027-47,81044861501,C1,BRASILEIRO(A),RAVI FERNANDES,ANA SOPHIA NOVAIS
ENZO ANDRADE,19/10/2007,"12/08/1974, GARCIA DE MARQUES, PI",09/02/2024,26/04/2029,PI70466537 SSP PI,567.810.249-49,89489915343,C1,BRASILEIRO(A),VICENTE LEÃO,BÁRBARA DA LUZ
EMANUEL ARAÚJO,17/07/1998,"03/09/2000, APARECIDA, BA",09/08/2021,03/12/2029,BA21768764 SSP BA,653.904.278-74,83088030596,D1,BRASILEIRO(A),DAVI MIGUEL VIANA,AYLA RIOS
SR. RYAN JESUS,01/01/2003,"11/11/1964, MELO DA PRAIA, SC",29/09/2022,28/06/2032,SC24240653 SSP SC,786.345.029-29,42624624946,CE,BRASILEIRO(A),SR. LUIZ OTÁVIO CAVALCANTI,ELOAH DUARTE
ENZO GABRIEL ROCHA,24/01/1998,"08/03/2002, COSTA, AC",31/10/2024,30/05/2033,AC78050360 SSP AC,704.985.321-60,73436803422,BE,BRASILEIRO(A),JOÃO GUILHERME PIMENTA,SRA. AYLA SANTOS
HENRIQUE MOURA,17/03/1999,"25/09/1978, LEÃO DO OESTE, PI",19/03/2024,24/01/2029,PI52897371 SSP PI,623.504.987-00,31169778285,D1E,BRASILEIRO(A),LEVI SAMPAIO,ANA CIRINO
JOAQUIM MARQUES,25/02/2007,"14/03/2000, DA CRUZ, AM",15/04/2024,28/09/2032,AM22938456 SSP AM,286.349.157-19,96889034187,C,BRASILEIRO(A),ERICK DA PAZ,HELLENA DA COSTA
SR. RYAN MORAES,17/10/2002,"24/06/1986, VIANA DE MINAS, ES",02/05/2022,27/02/2029,ES24648820 SSP ES,639.271.804-40,26772872643,C,BRASILEIRO(A),RENAN ANDRADE,RAFAELA DA COSTA
SARAH MARQUES,23/07/1997,"14/07/1990, DA COSTA, PR",13/08/2023,24/08/2030,PR47821870 SSP PR,064.731.285-90,94913589943,D,BRASILEIRO(A),RAEL PEIXOTO,ALEXIA LIMA
FELIPE PIRES,21/05/2000,"02/07/1956, MONTENEGRO, AP",06/10/2025,01/03/2035,AP87261470 SSP AP,613.480.952-70,14524391546,A,BRASILEIRO(A),DAVI MIGUEL MONTENEGRO,LÍVIA PIRES
JOSÉ MIGUEL SILVEIRA,06/06/2005,"29/01/1989, DA ROSA DA MATA, SC",16/10/2024,13/09/2029,SC61742656 SSP SC,943.712.568-64,87045913569,D,BRASILEIRO(A),DR. VALENTIM NOGUEIRA,ANTONELLA SIQUEIRA
VITÓRIA DA PAZ,18/09/1999,"29/01/1957, DA ROCHA, RO",21/01/2022,13/06/2026,RO22847145 SSP RO,547.269.083-83,67919898944,D1,BRASILEIRO(A),CAIO FARIAS,SRA. MARIA EDUARDA BORGES
ANA LÍVIA LEÃO,22/02/2005,"29/05/1979, NUNES, SP",08/07/2024,13/12/2033,SP46601041 SSP SP,472.813.965-46,26917179042,D,BRASILEIRO(A),PEDRO HENRIQUE MONTEIRO,MARCELA MACHADO
MURILO SÁ,04/04/1999,"27/10/2004, DA ROSA DO OESTE, MA",20/08/2023,31/05/2033,MA60908733 SSP MA,742.051.693-61,91421429975,DE,BRASILEIRO(A),LUIGI CALDEIRA,SRTA. SARAH RIBEIRO
DAVI LUCAS PINTO,17/05/1999,"03/04/1981, DA ROSA DE MINAS, RJ",23/12/2021,25/02/2026,RJ81864203 SSP RJ,658.491.372-46,78123206037,B,BRASILEIRO(A),APOLLO SOUSA,LARISSA PASTOR
LUAN ALBUQUERQUE,31/10/2001,"27/08/1992, MARTINS, RS",18/07/2021,16/04/2026,RS69417794 SSP RS,675.824.091-67,69865126492,D,BRASILEIRO(A),LEONARDO DA PAZ,MARIA JULIA FREITAS
ISABEL NOGUEIRA,22/11/2005,"29/07/1993, ABREU, BA",20/06/2021,05/09/2029,BA24998689 SSP BA,153.960.827-12,21742726131,C1E,BRASILEIRO(A),ANDRÉ MENDONÇA,MAYSA CASA GRANDE
DANIEL SILVA,19/12/2003,"30/09/1960, MORAES, MT",03/09/2025,15/02/2031,MT96130507 SSP MT,387.246.905-38,53389920874,A1,BRASILEIRO(A),SR. LUIZ HENRIQUE VASCONCELOS,SRTA. JOANA RIOS
YURI LIMA,28/02/1997,"10/05/2005, PEREIRA, TO",21/01/2024,21/09/2031,TO55689241 SSP TO,815.360.479-10,37277883334,B1,BRASILEIRO(A),HEITOR GOMES,SARA MOREIRA
SOPHIA PORTO,18/01/2003,"22/01/1957, NOVAES DE SILVEIRA, SE",13/07/2021,01/09/2029,SE82201615 SSP SE,189.756.403-10,63202377635,B,BRASILEIRO(A),ASAFE CAVALCANTE,CLARICE JESUS
MARCOS VINICIUS CASTRO,08/05/1999,"07/04/1980, DA ROSA, SP",05/12/2023,24/11/2028,SP22917203 SSP SP,106.985.734-39,62139229717,B,BRASILEIRO(A),SR. JOSÉ SALES,HADASSA ALMEIDA
DIOGO LEÃO,26/09/2007,"13/05/1959, NASCIMENTO, MG",22/03/2023,12/06/2027,MG54073949 SSP MG,386.915.742-91,82520423403,DE,BRASILEIRO(A),ANTHONY GABRIEL VASCONCELOS,MARIA FERNANDA ARAÚJO
ISADORA SILVEIRA,08/06/2007,"01/06/1998, DA MOTA DO GALHO, MT",22/01/2024,19/03/2027,MT47644655 SSP MT,632.509.487-56,58180481833,CE,BRASILEIRO(A),SAMUEL DA CONCEIÇÃO,SOFIA CAMPOS
SRA. MARIA EDUARDA LEÃO,23/05/1996,"03/05/1975, CAMARGO, RJ",20/09/2024,15/01/2029,RJ34600626 SSP RJ,053.126.879-95,80866544478,BE,BRASILEIRO(A),RAEL VARGAS,DRA. MARIA FERNANDA CUNHA
NICOLAS CIRINO,03/08/1998,"26/12/1975, VASCONCELOS, TO",14/01/2021,14/10/2027,TO41317145 SSP TO,018.756.394-20,37842207864,A1,BRASILEIRO(A),SR. CALEBE DA ROCHA,ANA LIZ VASCONCELOS
HEITOR DA PAZ,27/06/2001,"10/05/1969, GONÇALVES, GO",25/10/2024,30/11/2029,GO31965494 SSP GO,891.475.362-09,70338014091,DE,BRASILEIRO(A),JOSÉ SAMPAIO,AMANDA FONSECA
ANA LIZ LIMA,18/02/1996,"29/07/1964, FREITAS, PI",03/02/2021,08/12/2026,PI74345505 SSP PI,439.108.657-39,60470379732,A,BRASILEIRO(A),BRUNO CASSIANO,ANA CLARA BORGES
THALES DUARTE,20/08/2000,"06/01/1996, PEREIRA DAS PEDRAS, MA",19/05/2022,01/04/2028,MA82072336 SSP MA,340.675.981-57,35037944753,B1,BRASILEIRO(A),LUIZ FELIPE FREITAS,DRA. ANA VITÓRIA CALDEIRA
BERNARDO DAS NEVES,16/12/1996,"22/10/1985, DA CUNHA DO CAMPO, GO",03/05/2023,11/03/2029,GO34195346 SSP GO,863.720.195-40,17148414689,C1E,BRASILEIRO(A),FRANCISCO FERREIRA,SRTA. MANUELA CORREIA
ANA VIANA,18/12/2001,"11/07/1995, MENDONÇA, PB",25/04/2023,26/10/2029,PB62171861 SSP PB,316.208.597-77,94460372576,C1,BRASILEIRO(A),OTÁVIO TEIXEIRA,SOPHIA GONÇALVES
DRA. MARIA LAURA MORAES,27/12/1999,"10/08/2006, REZENDE DO OESTE, GO",18/10/2023,21/11/2029,GO14373831 SSP GO,397.481.520-14,58546430562,B,BRASILEIRO(A),RAVI LUCCA SIQUEIRA,LORENA DAS NEVES
LUAN LOPES,10/10/2007,"27/09/1971, LOPES ALEGRE, PI",08/12/2021,23/08/2029,PI78759418 SSP PI,214.086.935-42,98069878718,B1,BRASILEIRO(A),LUIZ GUSTAVO MENDONÇA,BÁRBARA PEREIRA
SARAH MELO,02/07/2004,"05/06/1990, CAMARGO DE CARVALHO, BA",13/11/2020,25/10/2026,BA20536514 SSP BA,641.205.789-76,29801338368,CE,BRASILEIRO(A),NATHAN NASCIMENTO,BEATRIZ PEIXOTO
OLÍVIA JESUS,16/02/2005,"23/07/1969, PASTOR, MS",02/08/2023,30/03/2032,MS81879732 SSP MS,076.814.293-87,61184759198,D1E,BRASILEIRO(A),DANILO NOVAES,ISABELLY PASTOR
BÁRBARA DA MATA,09/12/2003,"19/02/2005, ALVES ALEGRE, PA",22/07/2024,03/11/2032,PA36786309 SSP PA,219.645.830-98,47959776474,B1,BRASILEIRO(A),ASAFE CORREIA,STEPHANY CASA GRANDE
BERNARDO DIAS,19/05/1996,"18/02/2005, RODRIGUES, AP",25/08/2022,09/02/2029,AP58239623 SSP AP,148.506.239-05,13111807701,C,BRASILEIRO(A),MATTEO LEÃO,YASMIN SAMPAIO
JOSÉ ARAGÃO,21/07/1999,"03/01/1969, FREITAS, RN",09/08/2022,05/12/2028,RN13224053 SSP RN,681.435.072-62,84466315578,B1,BRASILEIRO(A),VINICIUS PIMENTA,MARIA ISIS MACEDO
MARIA JULIA MORAES,12/12/1998,"23/01/1965, PIMENTA DOS DOURADOS, BA",26/01/2022,31/07/2025,BA73617935 SSP BA,416.237.985-82,28108306031,C1E,BRASILEIRO(A),SAMUEL OLIVEIRA,MAYA SANTOS
BRUNO PACHECO,01/09/2007,"19/09/1974, OLIVEIRA, SP",14/10/2024,06/01/2030,SP46206583 SSP SP,348.651.279-09,13268780939,C,BRASILEIRO(A),PEDRO MIGUEL APARECIDA,CECÍLIA MONTENEGRO
MELINA CARVALHO,27/07/2005,"06/09/1982, PASTOR, RO",07/07/2025,10/12/2032,RO35424491 SSP RO,103.754.968-66,74330758568,B1,BRASILEIRO(A),JUAN VIANA,ALÍCIA ARAGÃO
SRA. MARIANA PORTO,07/08/2004,"31/07/1976, GOMES DO GALHO, PB",28/04/2022,10/02/2026,PB45682452 SSP PB,849.017.365-66,23740052502,DE,BRASILEIRO(A),JOÃO GUILHERME NOGUEIRA,ANA CLARA NUNES
LUCAS CUNHA,13/08/2002,"07/05/1983, PEREIRA, DF",08/09/2025,08/07/2034,DF72193160 SSP DF,670.283.415-26,93924780145,B,BRASILEIRO(A),VALENTIM DAS NEVES,MARIA CLARA SILVA
ANTONY DA COSTA,29/09/1998,"01/10/1958, FERNANDES DE DA COSTA, RJ",13/11/2022,07/03/2030,RJ14357508 SSP RJ,341.086.579-93,40991272813,B1,BRASILEIRO(A),CAUÊ PIMENTA,JULIA CASSIANO
CAIO RIBEIRO,13/11/2000,"16/05/1988, DA CUNHA DE CASSIANO, MA",18/11/2023,22/12/2029,MA10859862 SSP MA,309.861.245-24,18042191139,D1E,BRASILEIRO(A),ENZO GABRIEL DA LUZ,BRENDA SILVA
ANTHONY ALMEIDA,17/09/2007,"12/06/1979, FERNANDES, AC",07/11/2023,24/05/2030,AC99446991 SSP AC,914.786.052-94,57693062393,A1,BRASILEIRO(A),BRAYAN PACHECO,CLARICE SALES
LORENZO MELO,05/03/2002,"17/04/2003, SIQUEIRA DE CAMPOS, RJ",21/07/2021,18/09/2024,RJ13681199 SSP RJ,769.042.153-99,88483772048,A,BRASILEIRO(A),PEDRO MIGUEL SOUSA,MARIA ALICE GUERRA
